gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,id
0,3,2,14,18,2,2.0,14,12,372.0,0,-0.03,0,27.0,2.0,30.0,15.0,15.0,20.0,5.0,15.0,7.0,7.0,7.0,6.0,5.0,,7.0,1.0,2.0,33.0,Ed.D. in higher education policy at TC,9.0,University of Michigan-Ann Arbor,"1,290.00","21,645.00",3.0,2.0,1.0,"Palo Alto, CA",,,1.0,6.0,3.0,University President,2.0,3.0,4.0,4.0,10.0,9.0,10.0,1.0,1.0,8.0,7.0,10.0,8.0,10.0,1.0,4.0,10.0,4.0,2.0,,40.0,15.0,25.0,5.0,15.0,0.0,55.0,10.0,5.0,15.0,5.0,10.0,70.0,5.0,5.0,15.0,5.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,5.0,7.0,6.0,6.0,,6.0,4.0,0.0,6.0,,,,,,,,,,,,9.0,1.0,2.0,,,,,,,60.0,10.0,10.0,10.0,10.0,0.0,45.0,25.0,5.0,25.0,0.0,0.0,65.0,5.0,5.0,25.0,0.0,0.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583
1,14,1,3,10,2,,8,8,63.0,0,0.21,0,24.0,4.0,5.0,15.0,45.0,25.0,0.0,10.0,3.0,8.0,5.0,3.0,7.0,1.0,1.0,3.0,2.0,22.0,Engineering,5.0,,,,2.0,8.0,1.0,"Boston, MA","2,021",,5.0,6.0,1.0,Engineer or iBanker or consultant,7.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,9.0,21.0,20.0,19.0,20.0,10.0,10.0,,,,,,,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,8.0,8.0,,,,,,5.0,8.0,8.0,5.0,7.0,6.0,6.0,6.0,2.0,1.0,,,,,,,,,,,,6.0,1.0,3.0,,,,,,,22.0,17.0,17.0,17.0,10.0,17.0,,,,,,,,,,,,,6.0,7.0,7.0,7.0,8.0,,,,,,0.0,0.0,0.0,,,20.0,20.0,15.0,20.0,10.0,15.0,,,,,,,,,,,,,,,,,,,6.0,8.0,8.0,7.0,8.0,,,,,,6830
1,14,1,13,10,8,8.0,10,10,331.0,0,0.43,0,34.0,2.0,15.0,15.0,10.0,25.0,10.0,25.0,4.0,8.0,7.0,4.0,7.0,3.0,3.0,2.0,2.0,27.0,Urban Planning,5.0,"Rizvi College of Architecture, Bombay University",,,6.0,1.0,1.0,"Bombay, India",,,1.0,4.0,2.0,Real Estate Consulting,7.0,4.0,2.0,7.0,6.0,8.0,8.0,8.0,6.0,6.0,8.0,4.0,10.0,10.0,7.0,7.0,5.0,10.0,2.0,,10.0,20.0,25.0,20.0,20.0,5.0,25.0,5.0,20.0,25.0,10.0,15.0,25.0,10.0,20.0,25.0,10.0,10.0,7.0,9.0,7.0,9.0,10.0,7.0,9.0,9.0,7.0,9.0,6.0,5.0,7.0,5.0,7.0,6.0,6.0,5.0,0.0,4.0,,,,,,,,,,,,6.0,3.0,3.0,,,,,,,15.0,20.0,20.0,15.0,20.0,10.0,25.0,15.0,10.0,25.0,10.0,15.0,15.0,20.0,20.0,20.0,15.0,10.0,7.0,9.0,9.0,8.0,10.0,7.0,9.0,8.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840
1,38,2,9,20,18,13.0,6,7,200.0,0,0.72,1,25.0,2.0,13.21,18.87,18.87,16.98,16.98,15.09,5.0,9.0,7.0,5.0,8.0,,7.0,6.0,2.0,31.0,International Affairs,13.0,,,,2.0,4.0,7.0,"Washington, DC","10,471","45,300.00",2.0,5.0,4.0,public service,9.0,5.0,5.0,9.0,8.0,7.0,8.0,9.0,3.0,8.0,7.0,4.0,6.0,8.0,7.0,7.0,3.0,5.0,4.0,,17.78,17.78,17.78,17.78,13.33,15.56,9.0,7.0,8.0,7.0,7.0,7.0,19.15,17.02,17.02,17.02,14.89,14.89,8.0,8.0,8.0,8.0,6.0,,,,,,8.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,2.0,,16.67,18.52,18.52,18.52,12.96,14.81,7.0,8.0,8.0,9.0,7.0,8.0,1.0,3.0,,,,,,,16.0,20.0,16.0,20.0,14.0,14.0,9.0,7.0,8.0,8.0,7.0,6.0,17.02,19.15,17.02,17.02,17.02,12.77,8.0,9.0,8.0,8.0,7.0,,,,,,1.0,0.0,0.0,,,16.33,18.37,18.37,18.37,14.29,14.29,,,,,,,9.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,,8.0,9.0,8.0,8.0,6.0,,,,,,5508
1,24,2,14,20,6,6.0,20,17,357.0,0,0.33,0,27.0,4.0,15.0,20.0,20.0,20.0,20.0,5.0,4.0,5.0,7.0,5.0,5.0,6.0,4.0,3.0,2.0,27.0,Business,8.0,Harvard College,"1,400.00","26,019.00",2.0,9.0,7.0,Midwest USA,"66,208","46,138.00",2.0,5.0,2.0,undecided,10.0,9.0,10.0,8.0,9.0,9.0,9.0,7.0,4.0,2.0,9.0,6.0,8.0,6.0,7.0,7.0,4.0,2.0,5.0,,30.0,15.0,15.0,20.0,5.0,15.0,40.0,15.0,10.0,20.0,0.0,15.0,30.0,10.0,15.0,10.0,20.0,15.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,6.0,5.0,0.0,3.0,,,,,,,,,,,,5.0,1.0,2.0,,,,,,,40.0,15.0,15.0,15.0,5.0,10.0,45.0,15.0,5.0,15.0,5.0,15.0,40.0,10.0,10.0,10.0,20.0,10.0,7.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4828
0,3,2,14,18,2,2.0,18,8,368.0,0,0.53,0,24.0,6.0,20.0,10.0,25.0,20.0,10.0,15.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,2.0,2.0,33.0,Ed.D. in higher education policy at TC,9.0,University of Michigan-Ann Arbor,"1,290.00","21,645.00",3.0,2.0,1.0,"Palo Alto, CA",,,1.0,6.0,3.0,University President,2.0,3.0,4.0,4.0,10.0,9.0,10.0,1.0,1.0,8.0,7.0,10.0,8.0,10.0,1.0,4.0,10.0,4.0,2.0,,40.0,15.0,25.0,5.0,15.0,0.0,55.0,10.0,5.0,15.0,5.0,10.0,70.0,5.0,5.0,15.0,5.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,,8.0,8.0,0.0,6.0,,,,,,,,,,,,9.0,1.0,2.0,,,,,,,60.0,10.0,10.0,10.0,10.0,0.0,45.0,25.0,5.0,25.0,0.0,0.0,65.0,5.0,5.0,25.0,0.0,0.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7126
1,6,2,9,20,17,16.0,2,11,204.0,0,-0.08,1,26.0,2.0,19.61,15.69,17.65,15.69,17.65,13.73,3.0,8.0,10.0,6.0,10.0,7.0,8.0,1.0,1.0,27.0,MBA,8.0,,,,2.0,7.0,1.0,San Francisco,"10,021","55,080.00",2.0,5.0,3.0,Consulting,7.0,2.0,1.0,2.0,7.0,7.0,5.0,3.0,5.0,1.0,13.0,6.0,6.0,7.0,6.0,5.0,2.0,1.0,6.0,,7.5,17.5,20.0,22.5,12.5,20.0,10.0,6.0,6.0,10.0,10.0,8.0,19.57,17.39,15.22,17.39,17.39,13.04,5.0,10.0,9.0,9.0,10.0,,,,,,7.0,10.0,10.0,10.0,10.0,5.0,9.0,5.0,1.0,,13.21,18.87,18.87,18.87,16.98,13.21,6.0,10.0,10.0,9.0,10.0,7.0,1.0,3.0,,,,,,,14.81,18.52,18.52,18.52,16.67,12.96,10.0,8.0,8.0,8.0,8.0,8.0,18.18,18.18,12.73,16.36,16.36,18.18,6.0,10.0,10.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3774
0,7,2,4,18,15,,1,1,94.0,0,0.27,1,28.0,4.0,20.0,20.0,20.0,10.0,10.0,20.0,7.0,7.0,8.0,8.0,6.0,9.0,8.0,6.0,2.0,26.0,Operations Research (SEAS),5.0,,,,4.0,8.0,8.0,India/Venezuela,"8,003",,2.0,7.0,1.0,Operations Research,5.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,5.0,3.0,10.0,20.0,15.0,20.0,20.0,15.0,,,,,,,15.0,15.0,15.0,20.0,15.0,20.0,7.0,9.0,8.0,7.0,7.0,,,,,,5.0,6.0,7.0,6.0,9.0,5.0,5.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4303
0,29,2,11,21,10,10.0,3,6,278.0,0,0.64,1,32.0,2.0,25.0,15.0,20.0,25.0,10.0,5.0,8.0,7.0,8.0,8.0,8.0,3.0,7.0,7.0,2.0,28.0,french,16.0,"colby college, waterville, me","1,330.00","34,290.00",2.0,2.0,2.0,new york city,,,2.0,7.0,3.0,undecided,10.0,5.0,4.0,5.0,4.0,7.0,8.0,8.0,1.0,6.0,5.0,1.0,4.0,10.0,6.0,7.0,2.0,6.0,4.0,,25.0,20.0,20.0,25.0,0.0,10.0,30.0,10.0,10.0,20.0,20.0,10.0,39.0,20.0,15.0,20.0,0.0,6.0,8.0,8.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,5.0,4.0,7.0,9.0,3.0,5.0,,5.0,6.0,0.0,4.0,30.0,25.0,20.0,25.0,0.0,0.0,8.0,5.0,8.0,9.0,4.0,4.0,3.0,2.0,,,,,,,30.0,20.0,15.0,20.0,0.0,15.0,30.0,15.0,20.0,15.0,10.0,10.0,45.0,15.0,10.0,10.0,10.0,10.0,8.0,8.0,7.0,8.0,4.0,8.0,8.0,6.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3859
0,7,2,11,21,13,13.0,15,11,283.0,0,-0.16,1,27.0,4.0,50.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,2.0,26.0,nutrition,10.0,UW Madison,"1,210.00","12,900.00",4.0,3.0,1.0,Maryland,"21,701","36,594.00",1.0,7.0,3.0,nutrition and dental,4.0,6.0,8.0,9.0,6.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,7.0,7.0,8.0,8.0,9.0,1.0,6.0,,16.67,16.67,16.67,16.67,16.67,16.67,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,2.0,,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7049
