summary,image,type,price
"Spacious, sunny and cozy modern apartment in the heart of Montreal. This 3 bedroom centrally located in the very popular Plateau Mont-royal neighborhood in the middle of prince-arthur pedestrian-only street. Close to all amenities ( Restaurants, coffee house, bars, clubs, shopping, universities, subway stations). Experience Montreal like a real local resident, be in the heart of the action: grand prix week, grill Saint-Laurent festival, mural 2019 and so much more!",img_train/0.jpg,Apartment,1
"Located in one of the most vibrant and accessible locations of downtown Montreal, this one bedroom condo will not only impress you but leave you with one of the most memorable experiences. It is walking distance of the popular Sainte-Catherine Street, the Bell Center, the Old Port, Lachine Canal, Bonaventure metro, and much much more...",img_train/1.jpg,Apartment,0
"Logement coquet et douillet à 10 minutes du centre-ville de Montréal. Épicerie, pharmacie, saq, restaurants et transports en communs à proximité. Deux chambres fermées pouvant accueillir 4 adultes!",img_train/2.jpg,Apartment,1
"Beautiful and spacious (1076 sc ft, / 100 mc) condo (on the 1th floor) in the West-Island of Montreal.  Located in a quiet residential area, near a number of superb green spaces . 3 min. car from highways 13 & 40, 7 min. from Le Marché de l'Ouest, 15 min. from the Airport, 6 min. walk from Sunnybrooke train station that goes downtown MTL. in 20 min. and is close to the beautiful nature park Bois de Liesse ; walk and bike paths in summer and snowshoe and cross-country skiing paths in winter.",img_train/3.jpg,Apartment,1
"Très grand appartement ''rustique'' et très agréable a vivre à louer dans un quartier sympa de Montréal. Une grande chambre au sous-sol et au Rez de chaussée il y a une chambre, une grande cuisine salle à manger et un grand salon double La cuisine offre de nombreuses machines comme un mixeur, un robot ménager, une cafetière, une machine a panini, une machine a gaufre, ... Très proche du du bord du fleuve et du centre-ville de Verdun et de Montréal à pied, en métro, vélo ou autobus.",img_train/4.jpg,Apartment,0
"Small and cozy studio, all equipped, ideally situated in Downtown Montreal, including: A complete kitchen with a breakfast basket, coffee and tea. A balcony with a great view of Mount Royal. A flat-screen TV with Netflix. There are a lot of shops, restaurants, bars and coffees near. It is close to many attractions: Quartier des Spectacles, Mount Royal, Musée des Beaux-Arts, etc. It is right next to McGill. The green metro line is at 5 mins by foot. Ideal for visiting Montréal or McGill !",img_train/5.jpg,Apartment,0
"Charming apartment! A place where you will feel at home & be enchanted by the ambiance & decoration. A memorable setting a foot away from the Mont-Royal. An calm oasis & on the occasions, THE place where you can enjoy a night of music & meeting Montrealers. Welcome to all those curious of mind who are also sociable, respectful & lively. The bedroom has a double bed and is perfect for a couple or 1 person. A living room, big kitchen, bathroom & lovely terrasse are shared.",img_train/6.jpg,Apartment,0
"Grande chambre dans une maison pour étudiants. À 5 minutes à pied du campus McGill-MacDonald et du Cégep John-Abbott. Bus 200 et 211, gare, épicerie, bibliothèque, rue principale et bord de l'eau à proximité. Endroit propre, tranquille, fraîchement rénové, chambre meublée, cuisine équipée, laveuse-sécheuse, air climatisé. Pas d'animaux. Internet illimité.",img_train/7.jpg,House,0
"Mon logement est à: -  5 minutes de marche du métro Cadillac (ligne verte) -  En métro, 5 minutes du stade olympique et du jardin botanique -  En métro 20 minutes du Centre ville -  Accès à pied à plusieurs restaurants et le centre d'achat ""Le Domaine"" (épicerie etc...) Vous apprécierez mon logement pour le lit confortable, la luminosité, l'acceuil, et le quartier. Mon logement est parfait pour LES GENS VOYAGEANT SOLO.  Le logement a un détecteur de fumée et de monoxyde de carbone.",img_train/8.jpg,Townhouse,0
"Wonderful and charming house located on the island of Montreal. This house is perfect to enjoy both pleasures of Montreal and enjoy the tranquility to be near water and nature. Only 20 minutes from downtown, 5 minutes from the beach and 10 minutes from plenty of restaurants, pubs and cute terraces. Montreal is easily accessible by car, bus or train. Perfect for couples, families and small groups to enjoy a charming house with lots of space, BBQ in the backyard and comfortable beds.",img_train/9.jpg,House,0
"Charmant ''3 pièces et demie'' situé au cœur du Vieux-Rosemont, à 5 minutes de marche des bars, restaurants, cafés, etc. Un quartier vraiment sympathique qui rendra votre séjour à Montréal inoubliable.",img_train/10.jpg,Apartment,0
"Hi there, my name is Melodie and i live in a beautiful appartment with my friend Mattiou. We both are really sympatic and open minded people. Mat is an artist who works in construction part time. I am not done with my bachelor degree yet and working as a waitress still.  We both share a lot of interest but our biggest one is Montreal Town! We love it here, this town as a lot to offer and that would be our plasur to help you discover its treasurs!",img_train/11.jpg,Apartment,0
"Stylish apartment, perfect for both families and friends near Mount Royal Park, Downtown Montreal and only a 7 min walk from the subway system. The apartment is located 15 minutes away from both Crescent St. and Saint-Laurent allowing to explore the nightlife and walk back home to rest on your cozy beds. The photos in the listing reflect only the size and shape of the apartment. We will be replacing all the furniture by May 2nd, 2019. New Photos will be up on June 15th 2019",img_train/12.jpg,Apartment,1
"1 month minimum occupancy. 3 1/2 newly renovated on second floor. 1 bedroom, 1 bathroom, 1 kitchen/living room. 50 feet from Promenade Fleury, 10 min walk from Metro Sauve/Henri Bourassa. Close to all essential services.",img_train/13.jpg,Apartment,0
"Message in English below Vous cherchez un lieu de quiétude en centre ville ? notre studio est situé dans le sous-sol de notre maison victorienne, vous serez idéalement placé sur le plateau, avec accès a toute la vie montréalaise, qui est une ville si vibrante. Looking for a place of tranquility in the city center?  our studio is located in the basement of our Victorian home, you will be ideally placed on the plateau, with access to all Montreal life, which is such a vibrant city.",img_train/14.jpg,Townhouse,0
